"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"AR",0,0,1-01-01,0,0,"Arkansas County, Arkansas",0,0,NA,NA,"No voting data yet","05001","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Ashley County, Arkansas",0,0,NA,NA,"No voting data yet","05003","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Baxter County, Arkansas",0,0,NA,NA,"No voting data yet","05005","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Benton County, Arkansas",0,0,NA,NA,"No voting data yet","05007","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Boone County, Arkansas",0,0,NA,NA,"No voting data yet","05009","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Bradley County, Arkansas",0,0,NA,NA,"No voting data yet","05011","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Calhoun County, Arkansas",0,0,NA,NA,"No voting data yet","05013","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Carroll County, Arkansas",0,0,NA,NA,"No voting data yet","05015","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Chicot County, Arkansas",0,0,NA,NA,"No voting data yet","05017","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Clark County, Arkansas",0,0,NA,NA,"No voting data yet","05019","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Clay County, Arkansas",0,0,NA,NA,"No voting data yet","05021","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Cleburne County, Arkansas",0,0,NA,NA,"No voting data yet","05023","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Cleveland County, Arkansas",0,0,NA,NA,"No voting data yet","05025","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Columbia County, Arkansas",0,0,NA,NA,"No voting data yet","05027","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Conway County, Arkansas",0,0,NA,NA,"No voting data yet","05029","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Craighead County, Arkansas",0,0,NA,NA,"No voting data yet","05031","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Crawford County, Arkansas",0,0,NA,NA,"No voting data yet","05033","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Crittenden County, Arkansas",0,0,NA,NA,"No voting data yet","05035","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Cross County, Arkansas",0,0,NA,NA,"No voting data yet","05037","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Dallas County, Arkansas",0,0,NA,NA,"No voting data yet","05039","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Desha County, Arkansas",0,0,NA,NA,"No voting data yet","05041","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Drew County, Arkansas",0,0,NA,NA,"No voting data yet","05043","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Faulkner County, Arkansas",0,0,NA,NA,"No voting data yet","05045","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Franklin County, Arkansas",0,0,NA,NA,"No voting data yet","05047","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Fulton County, Arkansas",0,0,NA,NA,"No voting data yet","05049","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Garland County, Arkansas",0,0,NA,NA,"No voting data yet","05051","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Grant County, Arkansas",0,0,NA,NA,"No voting data yet","05053","NA","lessThan20pctIn",NA,NA,NA,NA
